"#","MLS #","","Address","City","Subdivision NAME","Beds Total","Bths (F/H)","Num Stories","Garage Carport","Apx Year Built","Apx Acreage","Sq Ft Total","Price/SqFt","Current Price","DOM","CDOM","Virtual Tour Branded"
"1","607426","A","2901 W Ave. B","Temple","","2","1/0","One","Detached Carport","1965","0.110","1,587","$0.85","$1,350","1","1",""
"1","606844","A","1118 Zora Drive Unit#B","Temple","Pecan Crk South Ph II","3","2/0","One","","2026","0.296","1,279","$1.17","$1,495","6","6",""
"1","606757","A","1802 W Avenue H Unit#A","Temple","Bellview","1","1/0","One","","1970","0.415","730","$1.03","$750","6","182",""
"1","606749","A","1114 Zora Drive Unit#B","Temple","Pecan Crk South Ph II","3","2/0","One","","2026","0.182","1,279","$1.17","$1,495","4","4",""
"1","606705","A","2320 Petersburg Lane","Temple","Heritage Place Ph VI","3","2/0","One","","2021","0.140","1,394","$1.15","$1,600","5","5",""
"1","606077","A","1615 S 15th Street","Temple","South Park","3","1/0","One","","1952","0.172","1,084","$1.18","$1,275","13","13",""
"1","605557","A","917 S 19th Street","Temple","Jones & Moores Add","2","1/0","One","","1946","0.189","1,128","$1.11","$1,250","13","13",""
"1","605543","A","1609 S 39th Street","Temple","Dubose Add Blks 1-7","3","1/0","One","None-Garage, None-Carport","1952","0.264","1,207","$1.24","$1,500","20","20",""
"1","605424","A","1426 Piedmont Street","Temple","Willow Glenn","3","2/0","One","","2024","0.138","1,308","$1.30","$1,695","21","21",""
"1","605210","A","1514 S 15th Street","Temple","South Park","2","1/0","One","","1947","0.165","744","$1.95","$1,450","24","24",""
"1","605124","A","523 A Olaf Drive","Temple","Liberty Hill Ph II","3","2/0","One","","2004","0.194","1,270","$1.02","$1,300","21","21",""
"1","604214","A","2408 Duntov Drive Unit#B","Temple","","3","2/0","One","","2021","0.165","2,702","$0.54","$1,450","35","35",""
"1","603207","A","609 Eaton Drive","Temple","Pecan Crk South Ph III","3","2/0","One","","2024","0.154","1,275","$1.33","$1,700","46","46",""
"1","602866","A","1228 Monte Verde Drive","Temple","Monte Verde Ph I","4","2/0","One","","2020","0.235","1,705","$1.00","$1,700","42","42",""
"1","602594","A","2401 Paul Revere Street Unit#B","Temple","Northwest Hills 1st Ext","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2008","0.183","1,200","$1.04","$1,250","54","54",""
"1","601542","A","1114 S 2nd Street","Temple","Robertson","2","1/0","One","","1985","0.273","1,560","$0.83","$1,300","66","66",""
"1","598395","A","1205 S 17th Street","Temple","Tal-Coe Place","2","1/0","Two","","1987","0.126","700","$0.93","$650","116","116",""
"1","597666","A","931 Antelope Trail","Temple","Atascosa Estates","4","2/0","One","","2023","0.179","1,901","$1.10","$2,100","128","128",""
"1","597612","A","2213 Valley Forge Avenue Unit#B","Temple","Northwest Hills 1st Ext","2","1/0","One","","1979","0.262","3,568","$0.31","$1,100","126","126",""
