"#","MLS #","","Address","City","Subdivision NAME","Beds Total","Bths (F/H)","Num Stories","Garage Carport","Apx Year Built","Apx Acreage","Sq Ft Total","Price/SqFt","Current Price","DOM","CDOM","Virtual Tour Branded"
"1","607241","A","10 Riverstone Parkway","Belton","Sobrante Ridge Sub","4","3/0","One","Attached Garage, Door-Single, Entry-Side Garage, Garage Door Opener(s)","2018","0.505","2,592","$1.33","$3,450","4","4",""
"1","606837","A","524 Neches Street","Belton","River Place Add Sec 1","4","2/1","One","","1993","0.406","2,205","$1.00","$2,200","7","7",""
"1","606415","A","809 W Avenue D","Belton","Lwg Assoc Add","3","2/0","One","","1984","0.140","1,052","$1.19","$1,250","12","12",""
"1","606228","A","904 Palmetto Street","Belton","River Forest Add","3","2/0","One","","1961","0.252","1,346","$1.26","$1,695","13","13",""
"1","606028","A","1614 Shady Lane","Belton","Oak Park Sub","3","2/0","One","","2016","0.198","1,486","$1.08","$1,600","14","14",""
"1","605428","A","5577 Perdita Drive","Belton","Three Creeks Ph I","3","2/0","One","Attached Garage","2019","0.138","2,170","$0.97","$2,100","20","20",""
"1","604712","A","505 Holstein Drive","Belton","Sendero Estates","4","2/0","One","Attached Garage","2022","0.177","2,214","$1.13","$2,500","28","28",""
"1","602463","A","6314 Matagorda Road","Belton","Three Crks Ph VI","3","2/0","One","Attached Garage","2022","0.138","1,605","$1.15","$1,850","56","56",""
"1","601461","A","6215 Lavaca Drive","Belton","","5","3/0","Two","","2020","0.138","3,140","$0.94","$2,950","56","56",""
"1","601186","A","365 Green Park Drive","Belton","Northcliffe Ph Viii","4","3/1","Two","Attached Garage, Door-Multi, Entry-Side Garage, Garage Door Opener(s), Oversized Garage","2006","0.517","3,365","$1.04","$3,500","69","69",""
"1","600544","A","1815 Liberty Hill Drive","Belton","Liberty Hill Add Amd","4","2/0","One","Attached Garage","2005","0.143","1,627","$1.11","$1,800","63","63",""
"1","599299","A","7255 Woodlake Circle","Belton","Woodlake Sec One Rep","4","3/0","Two","","1977","0.234","1,933","$1.24","$2,400","103","103",""
"1","598786","A","2351A S Wall Street","Belton","South Wall Estates","3","2/0","One","Attached Garage","2023","0.274","1,650","$1.02","$1,675","112","112",""
"1","598746","A","2618 Leroy Lane Unit#B","Belton","South Wall Estates","3","2/0","Two","","2023","0.169","1,536","$1.04","$1,595","112","112",""
"1","598451","A","3107 Sweetwater Cove","Belton","Townhomes At River Fair","2","2/1","Two","Attached Garage, Door-Single, Entry-Front Garage","2007","0.063","1,870","$1.44","$2,699","117","117",""
"1","597151","A","717 Holstein Drive","Belton","Sendero Estates","4","2/0","One","","2022","0.177","1,844","$1.00","$1,850","132","132",""
"1","596966","A","743 E 13th Avenue","Belton","Means 1","4","2/0","Two","","1947","0.306","2,080","$0.88","$1,825","134","134",""
"1","593770","A","2955 E Amity Road","Belton","","3","2/1","Two","","1986","1.000","1,770","$1.41","$2,495","172","172",""
"1","585159","A","1952 Royal Loop","Belton","Royal Heights Add","3","2/1","Two","Attached Garage, Door-Single, Entry-Front Garage, Garage Door Opener(s)","2021","0.052","1,485","$1.08","$1,600","260","260",""
"1","576922","A","1826 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","Attached Garage","2025","0.061","1,683","$1.04","$1,750","328","328",""
"1","576919","A","1822 Royal Loop","Belton","Royal Heights Add","3","2/1","Two","Attached Garage","2025","0.061","1,698","$1.00","$1,700","328","328",""
"1","576863","A","1810 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","Attached Garage","2025","0.058","1,683","$1.04","$1,750","328","328",""
"1","576862","A","1814 Royal Loop","Belton","Royal Heights Add","4","2/1","Two","Attached Garage","2025","0.060","1,698","$1.03","$1,750","328","328",""
"1","592761","P","5305 Fenton Lane","Belton","Three Creeks Ph II","3","2/0","One","Garage Door Opener(s)","2017","0.138","1,506","$1.06","$1,600","122","122",""
"1","606192","S","167 Chering Drive","Belton","Northcliffe Ph X","4","2/0","One","Attached Garage, Garage Door Opener(s)","2012","0.222","1,790","$1.12","$2,000","2","208","https://photoshoots.quickpics.net/sites/167-chering-dr-belton-tx-76513-22402583/branded"
"1","604864","S","4561 Allison Drive","Belton","Three Creeks","4","3/0","One","","2026","0.138","1,844","$1.27","$2,350","14","14",""
"1","604185","S","513 Red River Road","Belton","River Place Add Sec 1","3","2/0","One, Split/Multi Level","Attached Garage, Entry-Side Garage","1978","0.331","1,891","$1.08","$2,050","7","7",""
"1","603609","S","5899 Denmans Loop","Belton","Denman Twin Mountains 2nd","3","2/0","Two","Attached Garage","1996","0.350","2,483","$0.97","$2,400","22","22",""
"1","603601","S","13019 W Adams Avenue","Belton","","3","2/2","One","","1962","1.000","1,870","$0.96","$1,795","21","21",""
"1","602500","S","5926 Galveston Road","Belton","Three Crks Ph IV","3","2/0","One","Attached Garage, Door-Single","2020","0.138","1,570","$1.14","$1,795","30","30",""
"1","602086","S","1304 Long Creek Lane","Belton","West Canyon Trls Ph III","4","2/1","Two","Attached Garage, Entry-Front Garage","2023","0.175","2,508","$0.88","$2,200","36","36","https://photoshoots.quickpics.net/sites/1304-long-crk-ln-belton-tx-76513-21463330/branded"
"1","601006","S","1415 Loving Trail","Belton","Dawson Ranch Sec I Ph I","3","2/0","One","","2007","0.244","1,656","$1.18","$1,950","17","17",""
"1","599763","S","6664 Ivy Ridge Circle","Belton","Sherwood Shores Viii Teer Terrace","3","2/0","One","","2007","0.269","1,375","$1.20","$1,650","23","23",""
"1","599522","S","2553 Valley Forge Drive","Belton","Liberty Park","4","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2018","0.185","1,847","$0.92","$1,695","36","36",""
"1","599374","S","323 S Burnet Street Unit#B","Belton","","3","2/1","Two","Detached Carport","2025","0.320","1,355","$1.25","$1,695","60","60",""
"1","599337","S","1717 Cedrus Drive","Belton","Cedar Trls","4","2/0","One","","2024","0.344","1,832","$0.98","$1,800","30","30",""
"1","599157","S","5205 Cicero Drive","Belton","Three Creeks Ph I","3","2/0","One","Attached Garage, Door-Single, Entry-Front Garage","2017","0.138","1,310","$1.22","$1,595","36","36",""
