prop_id,geo_code,address,city,zip,subdivision,legal_desc,land_value,improvement_value,total_value
000000000006,0382801050,215 SLAWSON LN,KILLEEN,76542,CEDAR RIDGE,"CIR       KILLEEN                       76542     CEDAR RIDGE ESTATES PHASE I, BLOCK 001, LOT 0006",20000.0,169253.0,189253.0
000000000037,0281160050,5271 TOLLBRIDGE RD,BELTON,76513,POST OAK,"DR        BELTON                        76513     THE TWIN OAKS SUBDIVISION, BLOCK 002, LOT 0001",5000.0,0.0,6478.0
000000000092,0390730000,2103 TYE VALLEY,HARKER HEIGHTS,76548,TYE VALLEY,"RD        HARKER HEIGHTS                76548     HIDDEN VALLEY ESTATES, BLOCK 001, LOT 4, PT 3, (N 1",32032.0,166518.0,198793.0
000000000204,0376590016,711 TOWER ST,TROY,76579,TOWER,"ST        TROY                          76579     SKYVIEW EAST, BLOCK 002, LOT 0005",22000.0,230452.0,252452.0
000000000209,0162312000,321 COUNTY ROAD 4755,KEMPNER,76539,PURSER,"DR        KILLEEN                       76543     COPPERFIELD 2ND EXT, BLOCK 013, LOT 0001",27000.0,145289.0,172289.0
000000000210,0136764275,703 FILLY LN,TEMPLE,76504,FILLY,"LN        TEMPLE                        76504     WESTERN HILLS 7TH EXT REPLAT, BLOCK 040, LOT 0006",32000.0,204211.0,236211.0
000000000216,0346290000,7901 WOODWAY DR STE 200,WACO,76712,ARTESIAN,"DR        MORGANS POINT RESORT          76513     MORGANS POINT RESORT SECTION 16, BLOCK 022, LOT 001",22000.0,193000.0,215000.0
000000000217,0361530000,10 WHITEHORSE CIR,BELTON,76513,WHITEHORSE,"CIR       MORGANS POINT RESORT          76513     MORGANS POINT RESORT SECTION 24, BLOCK 010, LOT 12,",22000.0,196886.0,218886.0
000000000218,0355160000,44 WILLOW RUN DR,BELTON,76513,WILLOW RUN,"DR        MORGANS POINT RESORT          76513     MORGANS POINT RESORT SECTION 22, BLOCK 029, LOT 11,",42000.0,221129.0,263129.0
000000000219,0138850000,908 N 6TH ST,TEMPLE,76501,6TH,"ST        TEMPLE                        76501     WILCOX, BLOCK 006, LOT 0005",24678.0,204589.0,229267.0
000000000223,0314750000,4 DRIFTWOOD DR,BELTON,76513,DRIFTWOOD,"DR        MORGANS POINT RESORT          76513     MORGANS POINT RESORT SECTION 4, BLOCK 001, LOT 16,",96000.0,288966.0,384966.0
000000000224,0402882220,1208 RIVER HILLS CT,TEMPLE,76504,PECAN,"DR        KEMPNER                       76539     LOMAS RODANDO SOUTH 1ST EXT, BLOCK 002, LOT 0025, A",43288.0,329270.0,372558.0
000000000227,0159492905,2502 LAKE RD,KILLEEN,76543,LAKE,"RD        KILLEEN                       76543     CHIMNEY HILL ESTATES 2ND REPLAT, BLOCK 022, LOT 002",27000.0,153932.0,180932.0
000000000228,0922151252,15867 GOLIAD LOOP,TEMPLE,76502,GOLIAD,"LOOP      TEMPLE                        76502     TANGLEWOOD, BLOCK 001, LOT 419, 420",117072.0,700721.0,817793.0
000000000229,0261370000,1001 TERRA ALTA DR,BELTON,76513,TERRA ALTA,"DR        BELTON                        76513     BUENA VIDA ESTATES SECTION A, BLOCK 001, LOT 0008,",38000.0,181509.0,219509.0
000000000230,0304188858,1808 DIANA LN,HARKER HEIGHTS,76548,DIANA,"LN        HARKER HEIGHTS                76548     SUN MEADOWS PHASE TWO, BLOCK 004, LOT 0034, (TOD DE",50000.0,176359.0,226359.0
000000000231,0146371102,306 DAFFODIL DR,KILLEEN,76542,DAFFODIL,"DR        KILLEEN                       76542     BELLAIRE HEIGHTS 1ST EXT, BLOCK 012, LOT 0002",33000.0,150022.0,183022.0
000000000232,0333350000,8 W PIMA LN,BELTON,76513,SHERWOOD,"DR        MORGANS POINT RESORT          76513     MORGANS POINT RESORT SECTION 8A, BLOCK 017, LOT 003",22000.0,164817.0,186817.0
000000000233,0590100000,808 DUNN CIR,KILLEEN,76541,DUNN,"CIR       KILLEEN                       76541     A0797BC J R SMITH, 760-22, (70' X 100'), ACRES .161",16000.0,110681.0,126681.0
000000000239,0374035618,1213 INDIAN TRL,SALADO,76571,INDIAN,"TRL       SALADO                        76571     MILL CREEK SECTION 9, BLOCK 001, LOT 0007",85312.0,369257.0,454569.0
000000000244,0049940000,166 INDIAN RIDGE RD,BELTON,76513,EAST,"DR        TEMPLE                        76502     FOREST HILLS 1ST EXT, BLOCK 004, LOT 0006",14000.0,93465.0,214929.0
000000000246,0012840000,201 E ZENITH,TEMPLE,76501,ZENITH,"AVE       TEMPLE                        76501     BELLAIRE, BLOCK 008, LOT 0001",26161.0,254521.0,280682.0
000000000247,0015620000,2805 N MAIN ST,TEMPLE,76501,MAIN,"ST        TEMPLE                        76501     BELLAIRE NORTH SECTION TWO, BLOCK 010, LOT 0003",27835.0,186270.0,214105.0
000000000248,0229150018,66 MEADOWBROOK RD,SYOSSET,11791,SOUTH BROOK,"DR        KILLEEN                       76542     SOUTH BROOK ADDITION, BLOCK 001, LOT 0007",33000.0,162826.0,195826.0
000000000249,0442740001,10803 BARNHILL DR,AUSTIN,78758,BUTLER,"LN        BELTON                        76513     A0006BC M F CONNELL, ACRES 2.41",18403.0,162496.0,270669.0
000000000251,0396400000,8518 ADAMS LN,TEMPLE,76502,ADAMS,"AVE       TEMPLE                        76502     HILLDELL ESTATES, BLOCK 019, LOT 36, 37",40000.0,31974.0,71974.0
000000000254,0013540000,2407 N MAIN ST,TEMPLE,76501,MAIN,"ST        TEMPLE                        76501     BELLAIRE, BLOCK 015, LOT 0001",24668.0,173330.0,197998.0
000000000255,0121960000,4010 AMANDA DR,SALADO,76571,7TH,"ST        TEMPLE                        76501     L R TAYLOR ADDITION, BLOCK 008, LOT PT 1, (N 50' OF",19250.0,117176.0,136426.0
000000000257,0030460168,2218 STAGECOACH TRL,TEMPLE,76502,STAGECOACH,"TRL       TEMPLE                        76502     CANYON CREEK PHASE I, BLOCK 003, LOT 0037",40000.0,263030.0,303030.0
000000000258,0362370000,204 W DALE AVE,NOLANVILLE,76559,DALE,"AVE       NOLANVILLE                    76559     HOLIDAY TERRACE SECTION ONE, BLOCK 004, LOT 0003",20000.0,102062.0,122062.0
000000000260,0191410000,,,,,"KILLEEN HEIGHTS SOUTH UNIT 2ND SECTION, BLOCK 007,",25000.0,131927.0,156927.0
