channel_id	tab	url	status	exit_code	new_archive_ids	completed_at
UCG8QDUqWOBEV0EZdFCPzBXg	videos	https://www.youtube.com/channel/UCG8QDUqWOBEV0EZdFCPzBXg/videos	cutoff_complete	101	0	2026-07-24T19:46:32.301Z
UCG8QDUqWOBEV0EZdFCPzBXg	shorts	https://www.youtube.com/channel/UCG8QDUqWOBEV0EZdFCPzBXg/shorts	no_tab	1	0	2026-07-24T19:09:31.260Z
UCmdryrgNmYM2DtJwQNq9P_w	videos	https://www.youtube.com/channel/UCmdryrgNmYM2DtJwQNq9P_w/videos	cutoff_complete	101	0	2026-07-24T19:46:39.601Z
UCmdryrgNmYM2DtJwQNq9P_w	shorts	https://www.youtube.com/channel/UCmdryrgNmYM2DtJwQNq9P_w/shorts	complete	0	0	2026-07-24T19:09:39.665Z
UCPbTQjfJhPIGbWWf-fT4Arw	videos	https://www.youtube.com/channel/UCPbTQjfJhPIGbWWf-fT4Arw/videos	cutoff_complete	101	0	2026-07-24T19:46:51.212Z
UCPbTQjfJhPIGbWWf-fT4Arw	shorts	https://www.youtube.com/channel/UCPbTQjfJhPIGbWWf-fT4Arw/shorts	no_tab	1	0	2026-07-24T19:09:52.143Z
UCMqPqekyjmpLouPBXBNDUOg	videos	https://www.youtube.com/channel/UCMqPqekyjmpLouPBXBNDUOg/videos	cutoff_complete	101	0	2026-07-24T19:46:59.053Z
UCMqPqekyjmpLouPBXBNDUOg	shorts	https://www.youtube.com/channel/UCMqPqekyjmpLouPBXBNDUOg/shorts	complete	0	0	2026-07-24T19:10:01.830Z
UCFH8kizFSAK8n2F8Rj_kKUw	videos	https://www.youtube.com/channel/UCFH8kizFSAK8n2F8Rj_kKUw/videos	complete	0	0	2026-07-24T19:10:02.435Z
UCFH8kizFSAK8n2F8Rj_kKUw	shorts	https://www.youtube.com/channel/UCFH8kizFSAK8n2F8Rj_kKUw/shorts	complete	0	0	2026-07-24T19:10:03.119Z
UCxNVaIh7kxWGQqb13jylC1g	videos	https://www.youtube.com/channel/UCxNVaIh7kxWGQqb13jylC1g/videos	cutoff_complete	101	0	2026-07-24T19:47:01.996Z
UCxNVaIh7kxWGQqb13jylC1g	shorts	https://www.youtube.com/channel/UCxNVaIh7kxWGQqb13jylC1g/shorts	cutoff_complete	101	0	2026-07-24T19:47:05.076Z
UC2Z_q337M9CrJhJ9AuCaueQ	videos	https://www.youtube.com/channel/UC2Z_q337M9CrJhJ9AuCaueQ/videos	cutoff_complete	101	0	2026-07-24T19:47:09.349Z
UC2Z_q337M9CrJhJ9AuCaueQ	shorts	https://www.youtube.com/channel/UC2Z_q337M9CrJhJ9AuCaueQ/shorts	cutoff_complete	101	0	2026-07-24T19:47:17.562Z
UC-1bxoXAz9cJzzAxUwtz3oA	videos	https://www.youtube.com/channel/UC-1bxoXAz9cJzzAxUwtz3oA/videos	cutoff_complete	101	0	2026-07-24T19:47:20.456Z
UC-1bxoXAz9cJzzAxUwtz3oA	shorts	https://www.youtube.com/channel/UC-1bxoXAz9cJzzAxUwtz3oA/shorts	cutoff_complete	101	0	2026-07-24T19:47:23.239Z
UCXCOSeRma4LqC2hdNABgNWg	videos	https://www.youtube.com/channel/UCXCOSeRma4LqC2hdNABgNWg/videos	cutoff_complete	101	0	2026-07-24T19:47:32.131Z
UCXCOSeRma4LqC2hdNABgNWg	shorts	https://www.youtube.com/channel/UCXCOSeRma4LqC2hdNABgNWg/shorts	cutoff_complete	101	0	2026-07-24T19:47:39.559Z
UCx8t3BYAtruElLHy_34C5WA	videos	https://www.youtube.com/channel/UCx8t3BYAtruElLHy_34C5WA/videos	cutoff_complete	101	0	2026-07-24T19:47:42.826Z
UCx8t3BYAtruElLHy_34C5WA	shorts	https://www.youtube.com/channel/UCx8t3BYAtruElLHy_34C5WA/shorts	complete	0	1	2026-07-24T19:27:11.380Z
UC1oriuoiCEWyoV8MxiZjmOw	videos	https://www.youtube.com/channel/UC1oriuoiCEWyoV8MxiZjmOw/videos	cutoff_complete	101	0	2026-07-24T19:47:46.533Z
UC1oriuoiCEWyoV8MxiZjmOw	shorts	https://www.youtube.com/channel/UC1oriuoiCEWyoV8MxiZjmOw/shorts	no_tab	1	0	2026-07-24T19:27:15.860Z
UCVyzhc2YHkbwLJU2_Qs2Snw	videos	https://www.youtube.com/channel/UCVyzhc2YHkbwLJU2_Qs2Snw/videos	cutoff_complete	101	0	2026-07-24T19:48:03.324Z
UCVyzhc2YHkbwLJU2_Qs2Snw	shorts	https://www.youtube.com/channel/UCVyzhc2YHkbwLJU2_Qs2Snw/shorts	complete	0	5	2026-07-24T19:31:28.534Z
UCZ9Nsthr_JYgY4-Kz9PDLsQ	videos	https://www.youtube.com/channel/UCZ9Nsthr_JYgY4-Kz9PDLsQ/videos	cutoff_complete	101	0	2026-07-24T19:48:10.518Z
UCZ9Nsthr_JYgY4-Kz9PDLsQ	shorts	https://www.youtube.com/channel/UCZ9Nsthr_JYgY4-Kz9PDLsQ/shorts	complete	0	3	2026-07-24T19:33:10.941Z
UCXDEyux_WRpKBuhVLHPJinQ	videos	https://www.youtube.com/channel/UCXDEyux_WRpKBuhVLHPJinQ/videos	complete	0	22	2026-07-24T19:34:03.985Z
UCXDEyux_WRpKBuhVLHPJinQ	shorts	https://www.youtube.com/channel/UCXDEyux_WRpKBuhVLHPJinQ/shorts	complete	0	3	2026-07-24T19:34:11.799Z
UCc1CY8hdQ2pIk62vGztB1cQ	videos	https://www.youtube.com/channel/UCc1CY8hdQ2pIk62vGztB1cQ/videos	cutoff_complete	101	0	2026-07-24T19:48:14.269Z
UCc1CY8hdQ2pIk62vGztB1cQ	shorts	https://www.youtube.com/channel/UCc1CY8hdQ2pIk62vGztB1cQ/shorts	no_tab	1	0	2026-07-24T19:34:16.397Z
UCPxhdKZSM8qOMNOUG5Ee6VA	videos	https://www.youtube.com/channel/UCPxhdKZSM8qOMNOUG5Ee6VA/videos	cutoff_complete	101	0	2026-07-24T19:48:17.373Z
UCPxhdKZSM8qOMNOUG5Ee6VA	shorts	https://www.youtube.com/channel/UCPxhdKZSM8qOMNOUG5Ee6VA/shorts	no_tab	1	0	2026-07-24T19:34:19.885Z
UCaWGe6aEm9HqntTW6kOthyw	videos	https://www.youtube.com/channel/UCaWGe6aEm9HqntTW6kOthyw/videos	cutoff_complete	101	0	2026-07-24T19:48:25.251Z
UCaWGe6aEm9HqntTW6kOthyw	shorts	https://www.youtube.com/channel/UCaWGe6aEm9HqntTW6kOthyw/shorts	complete	0	3	2026-07-24T19:35:15.845Z
UCsiBMl-3q-I40160oSoKXvg	videos	https://www.youtube.com/channel/UCsiBMl-3q-I40160oSoKXvg/videos	cutoff_complete	101	0	2026-07-24T19:48:29.160Z
UCsiBMl-3q-I40160oSoKXvg	shorts	https://www.youtube.com/channel/UCsiBMl-3q-I40160oSoKXvg/shorts	no_tab	1	0	2026-07-24T19:35:23.292Z
UCwO_J1ZrE_elNTdc9P81xDw	videos	https://www.youtube.com/channel/UCwO_J1ZrE_elNTdc9P81xDw/videos	cutoff_complete	101	0	2026-07-24T19:48:36.401Z
UCwO_J1ZrE_elNTdc9P81xDw	shorts	https://www.youtube.com/channel/UCwO_J1ZrE_elNTdc9P81xDw/shorts	complete	0	41	2026-07-24T19:40:04.632Z
