"id","url","title","description","upload_date","channel","channel_id","duration","content_type","has_captions","caption_file_paths","sources","info_file_paths"
"2LHeub0vyz4","https://www.youtube.com/watch?v=2LHeub0vyz4","Belton set for incoming Amazon facility","Belton set for incoming Amazon facility","2025-05-29","25 News KXXV","UCOE42duvEjXG48b6BtOFBGA","107","video","false","","discovery","raw/authenticated-discovery/UCOE42duvEjXG48b6BtOFBGA/20250529_2LHeub0vyz4.info.json"
"3liQLa4OnmE","https://www.youtube.com/watch?v=3liQLa4OnmE","Makayla Asfaw Injured in Car Accident on FM 2657 in Burnet County, TX","Burnet County, TX — December 1, 2025: Authorities reported that Makayla Asfaw was injured following a two-vehicle collision along Farm to Market Road 2657 at approximately 3:43 a.m. According to initial details, the crash occurred south of Copperas Cove near the intersection of FM 2657 and County Road 221. Investigators said 28-year-old Asfaw was traveling northbound in a Volkswagen Tiguan when it reportedly collided with a Ford F-150 traveling in the opposite direction under circumstances that have not yet been released. Officials indicated that both Asfaw and the other driver sustained injuries, though the extent of those injuries has not been specified. Additional details regarding the incident have not been made public. The incident remains under investigation.

Video by Brandon Green, Grossman Law Offices","2026-01-17","Accident News by Attorney Michael Grossman","UCBvce-Y_fvzCMKsErpg07cw","37","short","false","","discovery","raw/authenticated-discovery/UCBvce-Y_fvzCMKsErpg07cw/20260117_3liQLa4OnmE.info.json"
"2gE6iN_NqbE","https://www.youtube.com/watch?v=2gE6iN_NqbE","How to find safe neighborhoods to live in Killeen, Temple, Belton, and Harker Heights, Texas","If you are coming to Killeen, Temple, Belton or Harker Heights, Texas for work at the Medical Center or on post at Fort Hood. You're gonna wanna watch this whole video.

This answer is a question ""how do I find safe neighborhoods to stay in for me and my family while I'm visiting or living in Killeen Texas?""

I'm gonna be showing you a free resource that you can use to evaluate neighborhoods safety before you sign a lease, rent a hotel, or even step foot on a street

You can do this research from anywhere in the world, whether your station overseas or at home.

So before you take your work assignment to Temple, Texas, Belton, Texas, Killeen, Texas, or move your whole family here make sure you do your research and find the safest neighborhoods to stay in

If you're looking for a furnished one bedroom, two bedroom, or three bedroom homes in the bell county area. Our company only rents fully furnished homes in safe, quiet neighborhoods.

You can contact us directly or go to our website stayalbatross.com to learn more.","2026-01-26","Albatross Furnished Homes | Central Texas","UCihPGpRXg00tkVCXqJKXW0A","1382","video","true","raw/authenticated-discovery/UCihPGpRXg00tkVCXqJKXW0A/20260126_2gE6iN_NqbE.en.json3","discovery","raw/authenticated-discovery/UCihPGpRXg00tkVCXqJKXW0A/20260126_2gE6iN_NqbE.info.json"
"Fq6N2jCpgY8","https://www.youtube.com/watch?v=Fq6N2jCpgY8","💥TikTokhttps://www.tiktok.com/@albertolopezrealty?_t=8kklqLVmQYs&_r=1","* Reach out for builder incentives *
Alberto Lopez 
Realtor 
Hacienda Texas Realty 
254-251-5440

💥TikTokhttps://www.tiktok.com/@albertolopezrealty?_t=8kklqLVmQYs&_r=1

🔥Websitewww.alberto.lopezhouses.com","2024-08-03","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","60","short","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240803_Fq6N2jCpgY8.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240803_Fq6N2jCpgY8.info.json"
"V1z_ssyjXBo","https://www.youtube.com/watch?v=V1z_ssyjXBo","📍 5525 Alazan Dr. | Belton Tx | Three Creeks | 4 Bedrooms | 3 Bathrooms | 2,647sf","* Reach out for builder incentives *
Alberto Lopez 
Realtor 
Hacienda Texas Realty 
254-251-5440

💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8kklqLVmQYs&_r=1

🔥Website

https://www.alberto.lopezhouses.com","2024-08-03","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","371","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240803_V1z_ssyjXBo.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240803_V1z_ssyjXBo.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240803_V1z_ssyjXBo.info.json"
"heyHidAVOco","https://www.youtube.com/watch?v=heyHidAVOco","📍 5405 Espiritu Santo | Belton Texas | 4 Bedrooms | 2 Bathrooms | 2,120 sf","* Reach out for builder incentives *
Alberto Lopez 
Realtor 
Hacienda Texas Realty 
254-251-5440

💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8kklqLVmQYs&_r=1

🔥Website

https://www.alberto.lopezhouses.com","2024-08-04","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","207","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240804_heyHidAVOco.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240804_heyHidAVOco.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240804_heyHidAVOco.info.json"
"tpx1ktbnz4g","https://www.youtube.com/watch?v=tpx1ktbnz4g","📍 5501 Alazan Dr. | Belton Texas | 4 Bedrooms | 2.5 Bathrooms | 2,120 sf","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-06","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","180","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240806_tpx1ktbnz4g.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240806_tpx1ktbnz4g.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240806_tpx1ktbnz4g.info.json"
"3oqI4wFAXXg","https://www.youtube.com/watch?v=3oqI4wFAXXg","📍 405 Hogan Circle | Harker Heights | 3 Bedrooms | 2 Bathrooms | 1,686sf","","2024-08-07","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","450","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_3oqI4wFAXXg.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_3oqI4wFAXXg.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_3oqI4wFAXXg.info.json"
"Hy4-pi9Xwic","https://www.youtube.com/watch?v=Hy4-pi9Xwic","📍 5414 Espiritu Santo | Belton Tx | 3 Bedrooms | 3 Bathrooms | 1 office | 1 Formal Dining | 2,356sf","ask about builder incentives & 
1st Time Home Buyer programs 

Contact me for more info!
Alberto Lopez 254-251-5440
Albertolopez@usa.com
Realtor with Hacienda Texas Realty

🏠 Websitehttps://www.alberto.lopezhouses.com

#fortcavazos #ftcavazos #texashouses #centraltexas #pcs #houseforsale 


💥TikTok
https://www.tiktok.com/@albertolopezrealty?_t=8n1IqmxNE3r&_r=1","2024-08-07","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","242","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_Hy4-pi9Xwic.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_Hy4-pi9Xwic.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_Hy4-pi9Xwic.info.json"
"LspW2x9NeAE","https://www.youtube.com/watch?v=LspW2x9NeAE","📍 2749 Settlement Rd | Copperas Cove | 4 Bedrooms | 2 Bathrooms | 1,628sf","","2024-08-07","Alberto Lopez Realtor","UCMDuSkrGqJn-qnLynaC60jQ","374","video","true","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_LspW2x9NeAE.en-orig.json3;raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_LspW2x9NeAE.en.json3","root","raw/authenticated-root/UCMDuSkrGqJn-qnLynaC60jQ/20240807_LspW2x9NeAE.info.json"
