video_id	channel_id	upload_date	availability	verification_source
1u3RA7NaVJU	UC1SKo4gUtYWElAGwZSguqpA	2026-06-19	public	direct yt-dlp public metadata recheck 2026-07-24
2EtGu8yUhQk	UCvyNP3_ZgVLciAIev5t2Gog	2025-06-03	public	direct yt-dlp public metadata recheck 2026-07-24
2G78BoUDXFI	UCWykQcBeQE_1yY2lk9m23YQ	2025-07-17	public	direct yt-dlp public metadata recheck 2026-07-24
4knnkLiSO_k	UCWykQcBeQE_1yY2lk9m23YQ	2025-08-08	public	direct yt-dlp public metadata recheck 2026-07-24
4yooPsq8qio	UCvyNP3_ZgVLciAIev5t2Gog	2025-04-18	public	direct yt-dlp public metadata recheck 2026-07-24
5uMDm9LyH1Q	UC1SKo4gUtYWElAGwZSguqpA	2025-12-13	public	direct yt-dlp public metadata recheck 2026-07-24
86piIrNULjU	UC1SKo4gUtYWElAGwZSguqpA	2024-12-08	public	direct yt-dlp public metadata recheck 2026-07-24
b6VmZT7Qgus	UCqo6EaV9o6bFg4szBL8RYEw	2024-09-20	public	retained raw/aundrea public info JSON
B0M411DjiwE	UCeZysVNyhl-JqrqesQjcqPg	2025-12-17	public	direct yt-dlp public metadata recheck 2026-07-24
D4_9pIaYPy4	UCqo6EaV9o6bFg4szBL8RYEw	2025-03-14	public	retained raw/aundrea public info JSON
DHKmbIkF-nY	UCWykQcBeQE_1yY2lk9m23YQ	2025-05-19	public	direct yt-dlp public metadata recheck 2026-07-24
Ew8I089mGIw	UC1SKo4gUtYWElAGwZSguqpA	2025-06-29	public	direct yt-dlp public metadata recheck 2026-07-24
O9yAhXKZJbA	UCvyNP3_ZgVLciAIev5t2Gog	2025-01-29	public	direct yt-dlp public metadata recheck 2026-07-24
H0OpYIiF1P4	UCqo6EaV9o6bFg4szBL8RYEw	2025-03-21	public	retained raw/aundrea public info JSON
IPiZW0oyOOQ	UCqo6EaV9o6bFg4szBL8RYEw	2025-01-08	public	retained raw/aundrea public info JSON
MtKBGJCzjzM	UCqo6EaV9o6bFg4szBL8RYEw	2025-05-30	public	retained raw/aundrea public info JSON
N3QjbDDZOX4	UCqo6EaV9o6bFg4szBL8RYEw	2025-11-15	public	retained raw/aundrea public info JSON
P9jJVjuKt-Q	UCqo6EaV9o6bFg4szBL8RYEw	2025-03-28	public	retained raw/aundrea public info JSON
Q3Nf6sKuR0M	UCvyNP3_ZgVLciAIev5t2Gog	2025-06-17	public	direct yt-dlp public metadata recheck 2026-07-24
R69ScZkadjM	UCijF1zTR7RluBFGicVZU4SA	2026-01-23	public	direct yt-dlp public metadata recheck 2026-07-24
RthpRSOOW88	UCeZysVNyhl-JqrqesQjcqPg	2025-11-06	public	direct yt-dlp public metadata recheck 2026-07-24
XTIn4-nXAZg	UCWykQcBeQE_1yY2lk9m23YQ	2025-12-13	public	direct yt-dlp public metadata recheck 2026-07-24
gPwuHFSaqOU	UCijF1zTR7RluBFGicVZU4SA	2026-05-01	public	direct yt-dlp public metadata recheck 2026-07-24
gT_qkJLFkOs	UCWykQcBeQE_1yY2lk9m23YQ	2026-07-09	public	direct yt-dlp public metadata recheck 2026-07-24
jEGH3cJRtvE	UCqo6EaV9o6bFg4szBL8RYEw	2025-07-04	public	retained raw/aundrea public info JSON
mt3S1pflqxM	UC1SKo4gUtYWElAGwZSguqpA	2026-03-21	public	direct yt-dlp public metadata recheck 2026-07-24
mzBB7iNhtQc	UCqo6EaV9o6bFg4szBL8RYEw	2025-02-18	public	retained raw/aundrea public info JSON
nY2c1YfRnQU	UCqo6EaV9o6bFg4szBL8RYEw	2025-02-07	public	retained raw/aundrea public info JSON
oMaddpXvp3w	UCWykQcBeQE_1yY2lk9m23YQ	2025-07-26	public	direct yt-dlp public metadata recheck 2026-07-24
p0b2HmyuJQw	UCijF1zTR7RluBFGicVZU4SA	2026-05-08	public	direct yt-dlp public metadata recheck 2026-07-24
tEjSZkQ5OWk	UC1SKo4gUtYWElAGwZSguqpA	2026-03-14	public	direct yt-dlp public metadata recheck 2026-07-24
tXs9-BEqNnI	UCqo6EaV9o6bFg4szBL8RYEw	2026-02-11	public	retained raw/aundrea public info JSON
uyDO9TayGyE	UC1SKo4gUtYWElAGwZSguqpA	2025-12-06	public	direct yt-dlp public metadata recheck 2026-07-24
vo-XdLuZAJo	UCwoQakQVf2m8hfitYnymb5w	2026-04-13	public	direct yt-dlp public metadata recheck 2026-07-24
wUTbACQP_iU	UCqo6EaV9o6bFg4szBL8RYEw	2025-07-26	public	retained raw/aundrea public info JSON
ys6_k7DqvlI	UCijF1zTR7RluBFGicVZU4SA	2025-03-14	public	direct yt-dlp public metadata recheck 2026-07-24
zleZN84Zs-Y	UCWykQcBeQE_1yY2lk9m23YQ	2025-08-15	public	direct yt-dlp public metadata recheck 2026-07-24
aoj_5L4z7EE	UCqo6EaV9o6bFg4szBL8RYEw	2025-02-21	public	retained raw/aundrea public info JSON
eG-Ncxh5B_U	UCqo6EaV9o6bFg4szBL8RYEw	2025-08-08	public	retained raw/aundrea public info JSON
