channel_id	channel_name	recovered_channel_name	info_files_seen	public_in_window_uploads	uploads_with_caption_artifacts	uploads_without_caption_artifacts	out_of_window_info_files	non_public_info_files	no_date_or_profile_info_files
UC-_SuyK4REF_TH5r1W2nQmw	Expert Rentals and Property Management	Expert Rentals & Property Management	41	41	29	12	0	0	0
UC3Wl4C9al_GLLFSe5nBSg6A	Hood Homes Blog - Brian E Adams	Hood Homes Blog: Brian E Adams	1	0	0	0	0	1	0
UCApMznnU70goY-0ucOaQNXA	CENTRAL TEXAS LIVING - Frank Adams	CENTRAL TEXAS LIVING	2	1	1	0	0	1	0
UCCXc67-4lyPeo_P-HFiPTSg	Maria Jones Hall Realtor	Maria Jones Hall, REALTOR	26	26	18	8	0	0	0
UCC_f7viNGfRPH0gSnTsHlFw	Duplexes in Killeen Texas		0	0	0	0	0	0	0
UCDKBmfDQL51l_qsamkhGYHw	Teresa Ingram	Teresa Ingram	27	27	24	3	0	0	0
UCGEXUfJdSCBPtgWeF8Dl4lw	Robert Herrings Jr	Robert Herrings Jr	251	251	35	216	0	0	0
UCGhBS7DKFyz9F54RfrBucQw	John Reider Properties		0	0	0	0	0	0	0
UCH_q3yrfScCGPYzSr9VVwGQ	Home in Texas Team	Home in Texas Team	24	24	20	4	0	0	0
UCJn5yVbactAJ84qeDb22Htg	People 1st Realty - Gloria Watson	People 1st Realty LLC—Gloria Watson	82	82	74	8	0	0	0
UCJs_jBKFIBm0o4HZg1mLMKQ	Stephen Harris - Selling Central Texas	Stephen Harris - Selling Central Texas	196	194	193	1	1	1	0
UCKC2Qfjps_rzW0-lUQIP7KA	Nestled With Whitney	Nestled With Whitney	154	154	117	37	0	0	0
UCKVWHDP86oKOt6yZOH4lMEA	Shelly Salas - Your Home Sold Guaranteed	Shelly Salas - Your Home Sold Guaranteed	634	633	294	339	0	1	0
UCMDuSkrGqJn-qnLynaC60jQ	Alberto Lopez Realtor	Alberto Lopez Realtor	97	96	67	29	0	1	0
UCMKRSmq9b8V07K9y4Zyfx_Q	Joanna Pearce	Joanna Pearce	7	7	5	2	0	0	0
UCMfrI9m3oMyJsWco8Fq05Uw	James Jim Garvey eXp Realty		0	0	0	0	0	0	0
UCQIRCIpmSGFVbRXK6OYg6zA	PRC Properties Group	PRC Properties Group	3	3	3	0	0	0	0
UCSKCjpoNVdfYTFxHy-jS_VA	Cloud Real Estate		0	0	0	0	0	0	0
UCW0Vt4ukxSblQWRyLF_l6GA	Nahir Diaz Realtor	Nahir Diaz REALTOR	18	18	17	1	0	0	0
UCZAiPx4wER-v-Q4avEhVTZg	Sujin Park Henson	Sujin Park Henson	401	400	205	195	1	0	0
UCZvWg96vLbA3eGHCwnf3RRQ	Century 21 Premier Realtors	Century 21 Premier Realtors	691	690	399	291	0	1	0
UCa5bz6lCwdTX6HQfzlOdZFA	Sandee Payne	Sandee Payne	15	15	11	4	0	0	0
UCdGuhzT0IUrH81vQN9tY6MQ	Linnemann Realty		0	0	0	0	0	0	0
UCfDOrNekvd28MKc_S897MsQ	Elizabeth Thomas - Fort Hood Homes Group	Elizabeth Thomas - Fort Hood Homes Group	73	72	63	9	0	1	0
UCfS8-4IPB1bN8oN1N2zqsSw	Spradley Properties	Spradley Properties	17	17	6	11	0	0	0
UChC-ZIQbKzAX5FAdCg7FAfg	Linnemann Realty second channel		0	0	0	0	0	0	0
UChfEhOd71uTgQaZPyy7rN-w	John Reider Properties second channel		0	0	0	0	0	0	0
UCiDEHqXl4HEWQZ4mZ1nsbtQ	Twins Realty Team	Twins Realty Team	192	192	189	3	0	0	0
UCjlRZ6P2r9NV3NQtGwWuBjg	Living at Fort Hood - Hanna Smelser	Living at Fort Hood	26	26	26	0	0	0	0
UCkhp-b2FIwAZVlV6kRN-1mg	Rheajane Taylor	Rheajane Taylor	693	693	349	344	0	0	0
UClKGrQTetWA6uF2ti9xSzhA	Shay Harris Broker MBA - Fort Hood TX	Shay Harris, Broker, MBA - Fort Hood, TX	26	26	1	25	0	0	0
UClhphoG2zMHA6r7nNyLFLgA	Samantha Hammonds - Central TX Realtor	Samantha Hammonds- Central TX REALTOR®	28	28	26	2	0	0	0
UClinBn5SPDXw59ekiWude1A	HH Rental Properties		0	0	0	0	0	0	0
UClqYZw4Suu5WVPGFlm8Tgeg	i35Group at Keller Williams	i35Group at Keller Williams	241	240	179	61	1	0	0
UCm-ak6OuI6VnRU7xJbfndMw	Lisa Kamprath Realtor Belton TX	Lisa Kamprath, REALTOR® Belton, TX	34	34	8	26	0	0	0
UCoSJo2-rE7ddishWTzj9sAA	Killeen to Austin Living - Darren Saint-Surin	Killeen to Austin Living – with Darren Saint-Surin	7	7	6	1	0	0	0
UCoht3EiOo8EqRe5exkOAH8w	New Builds in Central Texas	New Builds in Central Texas	14	14	14	0	0	0	0
UCr69-cf-6VLWlDIyi71v13g	Jessica Doree TX Premier Realty	Jessica Doree, TX Premier Realty - TX LIC REALTOR®	16	16	10	6	0	0	0
UCrN5LHFTL2qwkmd9z-90RgA	Carmen Colon Homes Team - Keller Williams		0	0	0	0	0	0	0
UCv13WrX5B7qp6TIGskYpDDQ	Ott Group Realty - Homestead Real Estate	Ott Group Realty-Homestead Real Estate	33	33	16	17	0	0	0
UCvwxIfW2u71mpzrKastNbDg	Real Estate Steph CTX	Real Estate Steph CTX	7	6	6	0	0	1	0
UCw9DgzcPb_rhdp3VHFFo_8Q	Jean Shine - Shine Team Realtors		0	0	0	0	0	0	0
