"video_id","title","channel","channel_id","url","duration_seconds","view_count"
"--jSoTiW3PI","FORT HOOD COMANCHE 1 HOUSE TOUR.  ON POST HOUSING.","Amber Griffith","UCGw3j9KdW05KmJKzgkVmKiA","https://www.youtube.com/watch?v=--jSoTiW3PI",521.0,7291
"-07SUh_m9s8","Through my Realtor Eye -  Episode 1 $49,090 Listed Home Killeen, Texas","Ashly Wealth","UCW3bGc3aKW1V6HyicgiqkFg","https://www.youtube.com/watch?v=-07SUh_m9s8",98.0,45
"-BeUpTvPKyE","Palm Harbor Supercenter in Killeen, Texas","Palm Harbor","UCVfUGN4gxcLeWzP5K_fPgnA","https://www.youtube.com/watch?v=-BeUpTvPKyE",102.0,451
"-CpNohOpgaw","You Won’t Believe What $340K Buys in Belton, TX!","Stephen Harris - Selling Central Texas ","UCJs_jBKFIBm0o4HZg1mLMKQ","https://www.youtube.com/watch?v=-CpNohOpgaw",440.0,340
"-CqcJtzgyGE","MOVING VLOG pt 7. | Home Decor, Military Life,  Trying New Restaurants in Richmond VA + More","Army Barbie","UCLTgm7CKfJkVOyIQ_NKeS6w","https://www.youtube.com/watch?v=-CqcJtzgyGE",2775.0,14751
"-Hms65Z2aSE","Two indicted in Harker Heights High School parking lot shooting that left 19-year-old dead","KCENNews","UCjq9ElqnV7Df6NLb4oDHKqQ","https://www.youtube.com/watch?v=-Hms65Z2aSE",24.0,1807
"-Opx7MK7IJU","Is This $220K Temple Home Your First Buy?","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-Opx7MK7IJU",262.0,36
"-_6eJAJ2nlU","South Pointe Temple TX: Homes from $200K-$300K (Neighborhood Tour 2026)","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-_6eJAJ2nlU",372.0,187
"-_TFLScADKo","3066 Bela Vita Dr. | Model Home in Nolanville, TX | Elizabeth Thomas - Ace Real Estate Group","Elizabeth Thomas - Fort Hood Homes Group","UCfDOrNekvd28MKc_S897MsQ","https://www.youtube.com/watch?v=-_TFLScADKo",112.0,19
"-_YfiToox2o","🏡 Belton, TX Luxury Home Tour | 4 Acres + Pool! 🌳✨","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-_YfiToox2o",157.0,147
"-bckiGJbmjA","Homes for Sale - 1343 Liberation Lane, Copperas Cove, TX","Century 21 Premier Realtors","UCZvWg96vLbA3eGHCwnf3RRQ","https://www.youtube.com/watch?v=-bckiGJbmjA",47.0,2
"-cgEIceEs-8","2025/26 Varsity - Lake Belton v Salado","Gemma Pierce","UCcDXBICRynnHTmApMQnHNMA","https://www.youtube.com/watch?v=-cgEIceEs-8",2508.0,37
"-csKCfxw1xI","VETERANS RATED 100%: Buy your House the Dave Ramsey Way (Is it Realistic?)","Dylan Sievering","UCNgpj6DAPBtcYZPD9iaQydw","https://www.youtube.com/watch?v=-csKCfxw1xI",200.0,579
"-eFiPCctNPw","2026 Honda HR-V Killeen TX Austin, TX #J0095","Cleo Bay Honda","UCBaFE6JX-4CW6A4XA2mdOvw","https://www.youtube.com/watch?v=-eFiPCctNPw",52.0,14
"-eZWzFfPypg","Don't Invest in Temple TX Without Watching This Neighborhood Breakdown","Invest Central Texas","UCKuVz8ytHECKEAyRacDpm1g","https://www.youtube.com/watch?v=-eZWzFfPypg",1340.0,43
"-f5-mn9zFqQ","Salado Tx | Mill Creek Meadows Edition [2024] | REAL ESTATE DRONE TOUR","Trent Babb | Central Texas Land & Commercial","UCWykQcBeQE_1yY2lk9m23YQ","https://www.youtube.com/watch?v=-f5-mn9zFqQ",745.0,216
"-hDXU7qYtW8","Houses For Rent In Fort Hood, TX","James Sexton","UChxfPIqKTkOA9Tv1nLz9tsg","https://www.youtube.com/watch?v=-hDXU7qYtW8",71.0,77
"-hsAsGZVcVI","WARNING: Top 3 Mistakes Buyers Make Relocating to Temple TX (2026)","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-hsAsGZVcVI",365.0,92
"-jwUTUVBNc4","The Most Beautiful Home in Temple TX Just Hit the Market","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-jwUTUVBNc4",508.0,89
"-k085UCT0rg","#homesforsale #copperascove #texas #sold #realtor #salemyhome #cashoffers #homeselling #sales #ctx #","vanessa thomas","UCXCOSeRma4LqC2hdNABgNWg","https://www.youtube.com/watch?v=-k085UCT0rg",6.0,2
"-nTxQ_w8Cws","[JUST LISTED] New Build in Harker Heights, TX","Sujin Park Henson","UCZAiPx4wER-v-Q4avEhVTZg","https://www.youtube.com/watch?v=-nTxQ_w8Cws",61.0,13
"-pa5kjLYhOw","11.281 Acre Development Opportunity Copperas Cove Tx","Native Real Estate","UCTK2XLqTgPcvKDSWAuYRirg","https://www.youtube.com/watch?v=-pa5kjLYhOw",98.0,199
"-sMN3TeS6zs","505 Cowhand Drive, Harker Heights, TX | Harker Heights, TX Real Estate | Elizabeth Thomas Realtor","Elizabeth Thomas - Fort Hood Homes Group","UCfDOrNekvd28MKc_S897MsQ","https://www.youtube.com/watch?v=-sMN3TeS6zs",111.0,44
"-uDu3WKyJxk","New Stylecraft 1818 | $305K | Temple TX | 3.99% Interest Rate!","Living In Temple, TX | Taylor Dasch","UCqrLPGPR9eV7QUfK02dwtpQ","https://www.youtube.com/watch?v=-uDu3WKyJxk",312.0,153
"-vTULjAMEYA","This House Can Make $1,800/Month Renting to Traveling Nurses | Temple, TX","Invest Central Texas","UCKuVz8ytHECKEAyRacDpm1g","https://www.youtube.com/watch?v=-vTULjAMEYA",317.0,19
"-yiouCTTuHM","One-of-a-Kind Home in Harker Heights, TX","Living at Fort Hood","UCjlRZ6P2r9NV3NQtGwWuBjg","https://www.youtube.com/watch?v=-yiouCTTuHM",145.0,152
"01Vl3UxRvR0","Intro to Broadcasting at Union Grove Middle School","Marc Valenzuela","UC_1I2QHEcOJQWMhPSeynTgw","https://www.youtube.com/watch?v=01Vl3UxRvR0",355.0,977
"031VVy9JgRA","FOR SALE 3106 Red Oak Dr Belton TX 76513 - Lovejoy Homes Realty","Lovejoy Homes Realty","UCimsnaM-sbxLf-fp45KZgNw","https://www.youtube.com/watch?v=031VVy9JgRA",265.0,21
"05-a_UDB53A","Check out this local market update for TEMPLE 76502!","Taylor Colwell","UCPEgcGaR0lPkgYGqZTnUSkw","https://www.youtube.com/watch?v=05-a_UDB53A",34.0,0
