finding_id,creator_or_channel,date,video_title,video_url,video_id,timestamp_or_location,evidence_excerpt,topic,priority,classification,material_caveat,recommended_follow_up
ROOTA-SS-01,"Sujin Park Henson","2024-10-31; 2026-06-23; 2026-06-24; 2026-07-09; 2026-07-16","FOR SALE || 6102 Cactus Flower Ln, Killeen, TX; The Perfect Family Home in Central Texas; JUST LISTED in Harker Heights; Corner Lot Home in Harker Heights Under $400K; This 5-Bedroom Harker Heights Floor Plan Is Hard to Find!","https://www.youtube.com/watch?v=NT4LHtYCEwg; https://www.youtube.com/watch?v=-DTS1IlXE0Y; https://www.youtube.com/watch?v=gd8C2EtH98I; https://www.youtube.com/watch?v=Mrx9iwsuj5o; https://www.youtube.com/watch?v=Ky3hTmnP7Yo","NT4LHtYCEwg; -DTS1IlXE0Y; gd8C2EtH98I; Mrx9iwsuj5o; Ky3hTmnP7Yo","Description; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20241031_NT4LHtYCEwg.info.json; 20260623_-DTS1IlXE0Y.info.json; 20260624_gd8C2EtH98I.info.json; 20260709_Mrx9iwsuj5o.info.json; 20260716_Ky3hTmnP7Yo.info.json","“Perfect for military families”; “The Perfect Family Home” and “big families … actually need”; “perfect for a kids’ wing”; “perfect for guests, kids, or a home office”; “space for a growing family.”","Familial-status dwelling-suitability wording review","high","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The public descriptions do not establish exclusion, intent, differential treatment, listing-copy authorship, current listing status, or legal liability. Military status is not treated as a protected-class conclusion; the review is limited to the separate family/children suitability wording. `gd8C2EtH98I` is already in `DL-02` for a distinct profile-path verification issue.","Replace household-composition language with neutral bedroom, flexible-space, amenity, school-source, and commute facts; review every description, caption, visual overlay, and syndicated listing version with broker/compliance."
ROOTA-SS-02,"Sujin Park Henson","2024-08-13; 2025-01-26; 2026-02-20; 2026-02-26; 2026-04-04","Incredible Deal in Belton, TX! BUILDER’S SPECIAL: 3.99% INTEREST RATE!; VA Loan 3.49%! 4-Bed Home Near Heritage Park; PCS Soon? Home Ready Before Arrival; PCS Orders 2026? Don’t Rent — Buy at Fort Hood; Deployed Soldier → New Home in 36 Hours","https://www.youtube.com/watch?v=_peaiUT5pt4; https://www.youtube.com/watch?v=e-mTqD2Sob0; https://www.youtube.com/watch?v=Cjf2827AjiI; https://www.youtube.com/watch?v=MtyRqCxzr7E; https://www.youtube.com/watch?v=-qUM9kljarQ","_peaiUT5pt4; e-mTqD2Sob0; Cjf2827AjiI; MtyRqCxzr7E; -qUM9kljarQ","Title; Title; Description and 00:00:42-00:00:49 captions; Description and 00:00:08-00:00:20 captions; Description; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20240813__peaiUT5pt4.info.json; 20250126_e-mTqD2Sob0.info.json; 20260220_Cjf2827AjiI.info.json/.en.json3; 20260226_MtyRqCxzr7E.info.json/.en.json3; 20260404_-qUM9kljarQ.info.json","“3.99% INTEREST RATE”; “VA Loan 3.49%”; “incredible 3.99% VA rate”; “3.99% builder promos,” “ZERO down,” and “ONLY $50 earnest money”; “unbelievable interest rate” and “FREE appliances.”","Builder rate and incentive material-terms review","medium","Broker/lender verification item; not a Regulation Z, RESPA, FTC, VA, or legal-violation finding","The retrieved records do not establish creditor/advertiser role, rate versus APR, term, points/fees, lock or expiration, price, loan program, borrower/property/occupancy eligibility, availability, builder/lender relationship, compensation, or visual-frame disclosures. Titles and descriptions alone do not establish that a regulated credit advertisement omitted a required term.","Obtain each dated builder/lender offer and complete written conditions; ensure current terms and material eligibility/expiration conditions are readily visible in the video, description, CTA, and linked path; obtain broker/lender-compliance review before reuse."
ROOTA-SS-03,"Sujin Park Henson","2024-12-06; 2025-11-20; 2025-11-25","How to Save $100,000 on Your Mortgage!; Price Cut vs Closing Costs: Which Saves You More?; $10,000 Price Drop vs $10,000 Seller Concession — NOT the Same","https://www.youtube.com/watch?v=3LddTPBjKww; https://www.youtube.com/watch?v=60sO_5FvqgE; https://www.youtube.com/watch?v=agv9VUpAqMo","3LddTPBjKww; 60sO_5FvqgE; agv9VUpAqMo","Title; Description; Description; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20241206_3LddTPBjKww.info.json; 20251120_60sO_5FvqgE.info.json; 20251125_agv9VUpAqMo.info.json","“Save $100,000 on Your Mortgage”; a $15,000 comparison said to save about $80/month versus $200+/month; a $10,000 concession example claims a permanent 0.5% rate reduction, $7,200 over five years, and $20,000–$25,000 over the loan life.","Mortgage payment and savings calculation substantiation","medium","Financial calculation/source review; not a false-advertising or Regulation Z violation conclusion","The record does not state the complete purchase-price, down-payment, loan type, term, note rate/APR, points, fees, credit, lock, taxes/insurance, seller-net, closing-cost, qualification, or availability assumptions. The first post has only a title in the retained metadata/caption record.","Retain the dated calculation inputs and lender source; label any scenario as illustrative, disclose material assumptions and variability, and have broker/lender compliance review before using the claimed savings in consumer-facing content."
ROOTA-SS-04,"Sujin Park Henson","2025-02-18; 2026-04-20; 2026-07-15","1st Time Home Buyer? Did NOT know this DPA program for lower interest rate?; Got DENIED for a VA Loan? Don’t Stop Here; Can a Veteran Buy a Home With a Non-Veteran?","https://www.youtube.com/watch?v=yt5CXoXfBYE; https://www.youtube.com/watch?v=idXprXNiJiE; https://www.youtube.com/watch?v=vlZhuGp3pK0","yt5CXoXfBYE; idXprXNiJiE; vlZhuGp3pK0","Description and 00:01:50-00:01:57 captions; Description and 00:00:00-00:01:45 captions; Description and 00:00:37-00:01:00 captions; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20250218_yt5CXoXfBYE.info.json/.en.json3; 20260420_idXprXNiJiE.info.json/.en.json3; 20260715_vlZhuGp3pK0.info.json/.en.json3","DPA discussion contrasts a 6.125% rate with 6.7%; “520 vs 620 credit” and “50% DTI cap… or none”; a non-veteran co-borrower example says a lender may require a 12.5% down payment.","Loan-program qualification and lender-review","medium","Broker/lender verification item for educational loan content; not a Regulation Z, lending, or legal-violation finding","The content is general education and one post says requirements may vary, but the retained record lacks the governing program/lender source, borrower profile, entitlement, ownership, income/DTI, credit, lender overlays, pricing, dates, state-specific conditions, and full visual disclosures. Public text does not establish that any rule or disclosure requirement was breached.","Verify every program/underwriting statement with the identified lender or official program source as of posting; add clear eligibility and variability qualifiers and route individualized loan questions to a licensed lender before reuse."
ROOTA-SS-05,"Sujin Park Henson","2026-05-15","Duplex Near Fort Hood | Live in One Side, Rent the Other | Cash Flow Opportunity (Killeen, TX)","https://www.youtube.com/watch?v=c3GPF5pFyGo","c3GPF5pFyGo","Description; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20260515_c3GPF5pFyGo.info.json","“lease both for strong cash flow potential”; “designed for rental demand”; “strong tenant pool & consistent rental income potential.”","Rental-income and cash-flow substantiation","medium","Source/qualification review; not an investment guarantee, securities claim, or legal-violation conclusion","The description supplies property features but not current leases, rent rolls, collections, vacancy, tenant qualifications, operating costs, taxes, insurance, repairs, management, capital expenses, financing, market-demand source, or projected-return method.","Retain dated leases/rent-roll and operating-cost support; frame rental performance as property-specific and conditional, include material costs/risks, and review the listing and linked path before reuse."
ROOTA-SS-06,"Sujin Park Henson","2025-09-15; 2026-03-10","Did you know? A recent study found 45% of homeowners regret their purchase; How to Get Your Home Ready to Sell in 30 Days","https://www.youtube.com/watch?v=AhP0i2OhZ-4; https://www.youtube.com/watch?v=AqissjblEIM","AhP0i2OhZ-4; AqissjblEIM","Description; Description; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20250915_AhP0i2OhZ-4.info.json; 20260310_AqissjblEIM.info.json","“A recent study found 45% of homeowners regret their purchase”; “77% of buyers want a move-in ready home”; “96% of buyers start their search online.”","Consumer/statistical claim source review","medium","Source and scope substantiation review; not a false-advertising or legal-violation conclusion","No study/report title, publisher, date, population, geography, survey wording, methodology, or source link appears in the recovered descriptions. The record does not establish that the statistics are false or that they apply to Central Texas sellers or buyers.","Retain a dated authoritative source for each percentage, identify its scope and methodology near the claim, and distinguish general national research from property-specific consumer guidance."
ROOTA-SS-07,"Sujin Park Henson","2025-06-02; 2025-07-17; 2025-12-25; 2026-01-24; 2026-03-07; 2026-06-30","Under Contract in Just 16 Days! Multiple Offers = Happy Sellers!; Listed. Multiple Offers. SOLD Over Asking!; UNDER CONTRACT on Christmas Eve $70,000 OFF — Buyers WON; Under Contract in 36 Hours | Multiple Offers; MULTIPLE OFFERS OVER ASKING Killeen Home Just SOLD; Want to know what your home is REALLY worth in today’s market?","https://www.youtube.com/watch?v=H0nHScFUHpg; https://www.youtube.com/watch?v=H0vxg8QGivA; https://www.youtube.com/watch?v=pukXJbdnF-Q; https://www.youtube.com/watch?v=v9c5bxtbQnk; https://www.youtube.com/watch?v=uv5rLL9aZeY; https://www.youtube.com/watch?v=qcOygecUYzg","H0nHScFUHpg; H0vxg8QGivA; pukXJbdnF-Q; v9c5bxtbQnk; uv5rLL9aZeY; qcOygecUYzg","Title; Title; Title; Title; Description; Description and 00:00:03-00:00:13 captions; raw/authenticated-root/UCZAiPx4wER-v-Q4avEhVTZg/20250602_H0nHScFUHpg.info.json; 20250717_H0vxg8QGivA.info.json; 20251225_pukXJbdnF-Q.info.json; 20260124_v9c5bxtbQnk.info.json; 20260307_uv5rLL9aZeY.info.json; 20260630_qcOygecUYzg.info.json/.en.json3","“Under Contract in Just 16 Days”; “SOLD Over Asking”; “$70,000 OFF”; “Under Contract in 36 Hours”; “Multiple Offers” and “Offers OVER Asking Price”; “ACTIVE UNDER CONTRACT in just 30 days.”","Listing outcome and comparative seller-performance substantiation","medium","Transaction-specific outcome claim review; not a guarantee, false-statement, or legal-violation conclusion","The public record may describe genuine individual transactions, but it does not provide listing agreement/MLS data, original and final price, days-on-market definition, concessions, repairs, buyer financing, competing-offer records, agent role, typicality, or material transaction conditions.","Retain dated MLS/transaction support and identify any case-study context; avoid implying that comparable timing, price, discount, or offer outcomes are typical without a scoped methodology and material-variable disclosure."
ROOTA-SS-08,"Sandee Payne","2026-01-19","Why Some Homes Aren’t Selling — But Others Are | Bell County, Texas Housing Market Update","https://www.youtube.com/watch?v=Oe_oexTKVB0","Oe_oexTKVB0","00:05:47-00:06:00 captions; raw/authenticated-root/UCa5bz6lCwdTX6HQfzlOdZFA/20260119_Oe_oexTKVB0.info.json/.en.json3","“Hot market number two are family-oriented neighborhoods with strong community planning” and “schools, parks, proximity to shopping, making them attractive to relocating families.”","Familial-status neighborhood-suitability wording review","high","Apparent familial-status preference wording; copy-remediation priority, not an adjudicated Fair Housing violation","The video is a market update, not proof of exclusion, intent, differential treatment, a housing denial, factual accuracy, or legal liability. School/park discussion alone is not treated as a Fair Housing violation; the review is limited to the direct family-oriented/relocating-families framing.","Use neutral, sourced descriptions of amenities, access, and housing inventory rather than household-composition suitability phrasing; have broker/compliance review the caption, description, and visual overlays."
ROOTA-SS-09,"Sandee Payne","2026-01-16; 2026-01-19","Harker Heights vs Belton TEXAS; Why Some Homes Aren’t Selling — But Others Are | Bell County, Texas Housing Market Update","https://www.youtube.com/watch?v=Ylg2lWqsHOo; https://www.youtube.com/watch?v=Oe_oexTKVB0","Ylg2lWqsHOo; Oe_oexTKVB0","00:01:39-00:02:09; 00:03:10-00:03:30; 00:00:53-00:01:32; 00:03:25-00:03:43 captions; raw/authenticated-root/UCa5bz6lCwdTX6HQfzlOdZFA/20260116_Ylg2lWqsHOo.info.json/.en.json3; 20260119_Oe_oexTKVB0.info.json/.en.json3","Harker Heights is said to average about $150 per square foot, with stated price and inventory/negotiation ranges; Belton is said to sell faster and closer to list price; Bell County is said to have 5–6 months’ inventory, 80–100 median days on market, and five hottest/coldest markets.","Market-statistic and location-recommendation source review","medium","Source, consistency, and neutral-recommendation review; not a Fair Housing, steering, or legal-violation conclusion","The recovered captions identify no MLS/report, as-of date, geographic or property-type scope, calculation method, sample, seasonal context, or source for the city/county figures and market rankings. The content does not establish protected-class tailoring or discriminatory intent.","Retain dated source data and methodology for each market statistic/ranking; state scope and uncertainty, keep neighborhood guidance neutral and consistently sourced, and distinguish general market commentary from individualized advice."
ROOTA-SS-10,"Sandee Payne","2026-04-02; 2026-04-02","Sandee Payne Keynote | LeadsCon 2025 Oklahoma City; LEADSCON 2025- OKC | SANDEE PAYNE KEYNOTE","https://www.youtube.com/watch?v=Y5_rr0MX1vU; https://www.youtube.com/watch?v=b0EdAXUoC5o","Y5_rr0MX1vU; b0EdAXUoC5o","00:00:07-00:00:15 captions; 00:00:04-00:00:10 captions; raw/authenticated-root/UCa5bz6lCwdTX6HQfzlOdZFA/20260402_Y5_rr0MX1vU.info.json/.en.json3; 20260402_b0EdAXUoC5o.info.json/.en.json3","“I took 100 listings … in just 10 months”; “I win 99.9% of the listing appointments I go on.”","Agent performance and listing-volume substantiation","medium","Measurable performance-claim review; no false-advertising or legal-violation conclusion","The clips are conference-oriented, but the public captions do not provide the period definition, listing/appointment definition, geography, team versus individual attribution, source records, denominator, exclusions, or methodology needed to evaluate the stated figures.","Retain dated supporting records and define the claim’s scope; qualify the presentation as an individual, period-specific result unless a broader methodology supports reuse in recruiting or consumer-facing promotion."
